BHK,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
2,1100,1,4,2,1,2,0,10000
2,800,1,4,1,1,1,0,20000
2,1000,1,4,1,1,1,0,17000
2,800,1,4,2,1,1,0,10000
2,850,2,4,2,0,1,0,7500
2,600,1,4,2,1,2,0,7000
2,700,1,4,2,0,2,1,10000
1,250,1,4,2,0,1,1,5000
2,800,2,4,2,0,2,1,26000
2,1000,2,4,1,1,2,0,10000
3,1200,2,4,1,1,2,1,25000
1,400,2,4,2,1,1,1,5000
1,250,2,4,0,0,1,0,6500
1,375,2,4,2,1,1,1,5500
3,900,2,4,2,0,2,0,8500
3,1286,2,4,0,1,2,0,40000
2,600,1,4,1,1,1,0,6000
2,800,1,4,2,1,1,0,10000
2,2000,2,4,2,1,1,0,11000
2,660,1,4,2,1,1,0,6000
2,650,2,4,2,2,1,0,7900
2,400,2,4,2,0,2,0,9000
1,300,2,4,2,1,1,0,4000
3,1600,1,4,2,1,1,0,6500
1,400,1,4,1,0,1,1,8000
2,1000,1,4,2,1,1,0,7000
1,355,2,4,1,1,1,1,5300
2,1000,1,4,1,1,1,0,6000
2,800,1,4,2,1,1,0,8500
2,850,1,4,2,1,2,0,12500
1,350,2,4,2,1,1,0,7500
2,900,2,4,2,1,2,0,15000
2,550,1,4,1,1,1,0,6000
2,500,2,4,2,1,2,0,5000
3,1100,2,4,2,1,1,0,22000
2,850,2,4,1,1,1,0,15000
2,800,2,4,2,0,1,1,12500
2,630,2,4,2,0,1,0,7000
2,900,2,4,1,0,2,0,21000
1,270,2,4,1,1,1,0,10000
2,630,2,4,1,1,1,0,7200
3,1500,2,4,0,0,2,0,12000
1,600,1,4,2,1,1,0,5000
2,700,2,4,1,1,1,0,8500
1,300,1,4,1,1,1,0,6000
2,1300,1,4,1,2,2,0,10000
2,400,2,4,1,0,1,0,4600
2,650,1,4,2,2,2,0,12000
3,2000,1,4,1,1,2,0,30000
3,1068,1,4,1,1,2,0,15000
1,150,1,4,0,1,1,0,7500
1,450,2,4,2,0,1,0,7500
2,800,2,4,2,1,1,0,5000
2,1000,1,4,2,1,2,0,15000
2,900,1,4,1,0,1,0,11000
1,600,2,4,2,1,1,0,7000
2,1200,1,4,2,1,1,0,6000
2,1200,1,4,1,0,2,0,6000
2,650,1,4,1,1,2,0,7000
2,720,2,4,1,1,2,0,8500
1,300,2,4,2,0,1,0,5000
3,1200,2,4,2,1,3,1,30000
2,700,2,4,2,1,2,0,10000
3,2000,1,4,1,1,2,0,30000
1,250,1,4,1,1,1,0,3500
2,1100,2,4,2,0,1,0,8000
1,300,2,4,2,1,1,0,5000
2,600,1,4,1,1,1,0,7500
2,800,2,4,2,1,1,0,6500
1,680,1,4,2,1,1,0,7500
1,680,1,4,2,1,1,0,7500
2,850,2,4,1,0,1,1,16000
2,850,2,4,1,0,1,1,16000
2,700,1,4,2,0,1,0,6500
3,1500,1,4,2,1,2,0,40000
2,950,1,4,1,1,2,0,12500
2,500,1,4,2,1,1,0,5500
1,450,2,4,1,1,1,0,5000
2,700,1,4,2,0,1,0,6500
1,500,1,4,2,1,1,0,8000
3,1800,1,4,1,1,2,0,14500
1,500,2,4,1,1,1,0,8200
2,480,2,4,0,1,2,0,15000
6,1000,1,4,1,1,2,0,20000
2,800,1,4,0,1,1,0,6700
1,435,1,4,2,1,1,0,10000
2,700,2,4,1,1,2,1,7000
2,800,1,4,0,1,1,1,22000
2,450,1,4,2,1,1,0,6500
2,550,2,4,1,1,1,1,8500
2,800,2,4,2,0,2,1,18000
2,550,2,4,1,2,2,0,12000
1,600,1,4,0,1,1,0,9000
1,500,1,4,2,1,1,0,6000
